concept1,concept2,similarity,type
campagne présidentielle,médias,0.93,politique
idéologie,programme,0.95,politique
réformes constitutionnelles,amendements,0.92,politique
mouvement populiste,discours,0.91,politique
crise politique,instabilité,0.94,politique
politique économique,investissements,0.93,politique
suffrage universel,égalité,0.95,politique
politique environnementale,écologie,0.92,politique
droits de l'homme,justice,0.91,politique
géopolitique,relations internationales,0.94,politique
élections européennes,parlement,0.93,politique
politique locale,mairie,0.95,politique
programme électoral,promesses,0.92,politique
corruption,scandales,0.94,politique
négociations internationales,traités,0.93,politique
politique étrangère,alliances,0.91,politique
institutions politiques,structures,0.95,politique
citoyen,responsabilités,0.92,politique
politique monétaire,banques centrales,0.94,politique
élections municipales,candidats,0.93,politique
débat télévisé,arguments,0.95,politique
chef de l'État,discours,0.91,politique
souveraineté,nation,0.94,politique
guerre civile,instabilité,0.93,politique
développement durable,politiques,0.92,politique
mandat électoral,responsabilités,0.91,politique
politique énergétique,ressources,0.94,politique
accords internationaux,engagements,0.95,politique
coopération,alliances,0.93,politique
politique fiscale,taxes,0.92,politique
système électoral,représentation,0.91,politique
nations unies,conseil de sécurité,0.94,politique
politique sanitaire,santé publique,0.93,politique
politiques migratoires,asile,0.95,politique
transition énergétique,écologie,0.92,politique
politique agricole,subventions,0.91,politique
politique de défense,armée,0.94,politique
manifestation,revendications,0.93,politique
réformes sociales,sécurité sociale,0.95,politique
système parlementaire,législation,0.92,politique
politiques sociales,redistribution,0.91,politique
discours politique,communication,0.94,politique
politique de sécurité,protection,0.93,politique
assemblée générale,délibérations,0.95,politique
budget national,priorités,0.92,politique
constitution républicaine,libertés,0.94,politique
régimes autoritaires,censure,0.93,politique
traités internationaux,obligations,0.91,politique
démocratie participative,initiative,0.95,politique
pouvoir,autorité,0.92,politique
élections primaires,candidats,0.94,politique
système démocratique,transparence,0.93,politique
politique industrielle,emplois,0.91,politique
politique éducative,écoles,0.92,politique
grève nationale,opposition,0.94,politique
politique numérique,technologies,0.95,politique
démocratie,manifestation,0.22,politique
parlement,transport maritime,0.21,politique
président,galerie d'art,0.20,politique
parti politique,festival de musique,0.24,politique
constitution,danse folklorique,0.19,politique
gouvernement,système de navigation,0.23,politique
sénat,esport,0.22,politique
électorat,opéra,0.20,politique
opposition,graphisme contemporain,0.21,politique
coalition,paysages photographiques,0.19,politique
république,évolution culturelle,0.24,politique
monarchie,peinture murale,0.23,politique
dictature,photographie noir et blanc,0.22,politique
ministère,installation artistique,0.20,politique
candidat,poésie contemporaine,0.19,politique
citoyenneté,croquis,0.21,politique
référendum,tableau noir,0.23,politique
décentralisation,contraste,0.22,politique
lobbying,ressources numériques,0.20,politique
révolution,création musicale,0.19,politique
pouvoir exécutif,culture digitale,0.24,politique
pouvoir législatif,concepts abstraits,0.23,politique
pouvoir judiciaire,modélisation 3D,0.22,politique
partisan,analyse économique,0.21,politique
vote électronique,illustration scientifique,0.19,politique
mouvement social,danse contemporaine,0.24,politique
budget,fiction audio,0.23,politique
majorité,livre audio,0.22,politique
opinion publique,graphisme,0.21,politique
conflit diplomatique,ballet classique,0.20,politique
politique internationale,photographie de portrait,0.19,politique
chambre des communes,développement durable,0.22,politique
élections législatives,marbre,0.23,politique
politiques publiques,conte folklorique,0.24,politique
séparation des pouvoirs,logistique,0.21,politique
campagne présidentielle,fiction historique,0.20,politique
idéologie,arts visuels,0.19,politique
réformes constitutionnelles,paysages numériques,0.23,politique
mouvement populiste,art gothique,0.22,politique
crise politique,médaille,0.24,politique
politique économique,tableaux,0.21,politique
suffrage universel,atelier technique,0.20,politique
politique environnementale,sentier,0.19,politique
droits de l'homme,sculpture contemporaine,0.23,politique
géopolitique,poésie symboliste,0.22,politique
élections européennes,conservatoire,0.24,politique
politique locale,concours,0.21,politique
programme électoral,évolutions technologiques,0.20,politique
corruption,installation artistique,0.19,politique
montagne,altitude,0.95,geographie
océan,mer,0.94,geographie
rivière,source,0.93,geographie
lac,étendue d’eau,0.92,geographie
désert,sable,0.91,geographie
forêt,végétation,0.95,geographie
continent,pays,0.94,geographie
île,archipel,0.93,geographie
volcan,éruption,0.92,geographie
pôle nord,glacier,0.91,geographie
carte géographique,topographie,0.94,geographie
plaine,vallée,0.93,geographie
côte,plage,0.92,geographie
collines,pentes,0.91,geographie
tropiques,équateur,0.95,geographie
océan pacifique,atlantique,0.94,geographie
glacier,banquise,0.93,geographie
climat,température,0.92,geographie
capitale,métropole,0.91,geographie
région,territoire,0.94,geographie
pays,frontières,0.93,geographie
archipel,lagon,0.95,geographie
mer méditerranée,bassin,0.92,geographie
roche,érosion,0.91,geographie
baie,golfe,0.94,geographie
montagne alpine,sommet,0.93,geographie
plaine fertile,culture,0.92,geographie
steppe,climat aride,0.95,geographie
marécage,zones humides,0.94,geographie
falaise,érosion marine,0.93,geographie
cordillère des andes,altitude,0.92,geographie
delta,embouchure,0.91,geographie
toundra,pôle,0.95,geographie
océan indien,corail,0.94,geographie
région arctique,iceberg,0.93,geographie
désert du sahara,température,0.92,geographie
paysage,panorama,0.91,geographie
zone urbaine,infrastructure,0.94,geographie
zone rurale,agriculture,0.93,geographie
village,commune,0.95,geographie
relief,altimétrie,0.92,geographie
barrage,eau,0.91,geographie
cordillère,himalaya,0.94,geographie
éruption volcanique,cratère,0.93,geographie
région côtière,vagues,0.92,geographie
continent africain,plaine,0.91,geographie
plateau,montagne,0.95,geographie
fjord,norvège,0.94,geographie
delta du nil,fleuve,0.93,geographie
désert de gobi,asie,0.92,geographie
tropiques du cancer,capricorne,0.91,geographie
espace géographique,cartographie,0.94,geographie
localisation,longitude,0.93,geographie
météorologie,climatologie,0.95,geographie
ouragan,tempête,0.92,geographie
atoll,corail,0.91,geographie
mont kilimandjaro,tanzanie,0.94,geographie
cap horn,amérique du sud,0.93,geographie
plateau tibétain,himalaya,0.95,geographie
méridien,latitude,0.92,geographie
écosystème,région,0.91,geographie
carte du monde,projection,0.94,geographie
glaciers polaires,fondre,0.93,geographie
vallée,rivière,0.92,geographie
banquise,pôle sud,0.91,geographie
savane,faune,0.95,geographie
mer des caraïbes,îles,0.94,geographie
fleuve amazone,forêt tropicale,0.93,geographie
continent asiatique,culture,0.92,geographie
pays nordique,scandinavie,0.91,geographie
chutes du niagara,canada,0.94,geographie
désert d’arizona,canyon,0.93,geographie
récif de corail,biologie marine,0.95,geographie
littoral,marée,0.92,geographie
mont blanc,alpes,0.91,geographie
péninsule,mer,0.94,geographie
caps,baies,0.93,geographie
hémisphère sud,tropiques,0.92,geographie
mont fuji,japon,0.91,geographie
arctique,antarctique,0.94,geographie
plate-forme continentale,océan,0.93,geographie
zone tropicale,climat humide,0.95,geographie
sierra nevada,californie,0.92,geographie
pampa,argentine,0.91,geographie
montagne rocheuse,amérique du nord,0.94,geographie
himalaya,everest,0.93,geographie
massif central,france,0.92,geographie
antarctique,froid,0.91,geographie
géoécologie,écozone,0.94,geographie
cartographie,topologie,0.93,geographie
forêt boréale,sapin,0.95,geographie
montagne,illustration scientifique,0.22,geographie
océan,graphisme contemporain,0.21,geographie
rivière,danse folklorique,0.20,geographie
lac,peinture murale,0.19,geographie
désert,ballet classique,0.24,geographie
forêt,modélisation 3D,0.23,geographie
continent,fiction audio,0.22,geographie
île,artefacts,0.21,geographie
volcan,installation artistique,0.20,geographie
pôle nord,tableau noir,0.19,geographie
carte géographique,poésie contemporaine,0.24,geographie
plaine,paysages numériques,0.23,geographie
côte,opéras,0.22,geographie
collines,ressources numériques,0.21,geographie
tropiques,analyse économique,0.20,geographie
océan pacifique,supports numériques,0.19,geographie
glacier,livre audio,0.24,geographie
climat,sculpture contemporaine,0.23,geographie
capitale,évolutions technologiques,0.22,geographie
région,culture digitale,0.21,geographie
pays,exposition artistique,0.20,geographie
archipel,photographie noir et blanc,0.19,geographie
mer méditerranée,danse contemporaine,0.24,geographie
roche,fiction historique,0.23,geographie
baie,chorégraphie,0.22,geographie
montagne alpine,arts visuels,0.21,geographie
plaine fertile,concepts abstraits,0.20,geographie
steppe,opéra lyrique,0.19,geographie
marécage,médaille,0.24,geographie
falaise,graphisme,0.23,geographie
cordillère des andes,galerie d’art,0.22,geographie
delta,atelier technique,0.21,geographie
toundra,installation artistique,0.20,geographie
océan indien,illustration,0.19,geographie
région arctique,supports visuels,0.24,geographie
désert du sahara,projection numérique,0.23,geographie
paysage,concepts graphiques,0.22,geographie
zone urbaine,croquis,0.21,geographie
zone rurale,fiction numérique,0.20,geographie
village,poésie symboliste,0.19,geographie
relief,développement durable,0.24,geographie
barrage,logistique moderne,0.23,geographie
cordillère,histoire orale,0.22,geographie
éruption volcanique,culture générale,0.21,geographie
région côtière,système artistique,0.20,geographie
continent africain,événements culturels,0.19,geographie
plateau,musique contemporaine,0.24,geographie
fjord,biologie marine,0.23,geographie
médecine,soins,0.95,santé
infirmière,patient,0.94,santé
chirurgie,opération,0.93,santé
hôpital,urgence,0.92,santé
pharmacie,médicaments,0.91,santé
diagnostic,traitement,0.94,santé
médecin,consultation,0.93,santé
vaccin,immunité,0.95,santé
épidémie,virus,0.92,santé
maladie,symptômes,0.91,santé
soins intensifs,ventilation,0.94,santé
santé mentale,psychologie,0.93,santé
physiothérapie,rééducation,0.95,santé
cardiologie,coeur,0.92,santé
oncologie,cancer,0.91,santé
dentiste,carie,0.94,santé
ophtalmologie,vision,0.93,santé
nutrition,dietetique,0.95,santé
pédiatrie,enfant,0.92,santé
gériatrie,seniors,0.91,santé
anesthésie,douleur,0.94,santé
radiologie,imagerie,0.93,santé
biologie,laboratoire,0.95,santé
épidémiologie,santé publique,0.92,santé
dermatologie,peau,0.91,santé
orthopédie,fracture,0.94,santé
psychothérapie,thérapie,0.93,santé
allergie,réaction,0.95,santé
vaccination,protection,0.92,santé
réanimation,soins,0.91,santé
neurochirurgie,cerveau,0.94,santé
psychologie,cognition,0.93,santé
toxicologie,intoxication,0.95,santé
endocrinologie,hormones,0.92,santé
médecine générale,consultation,0.91,santé
kinésithérapie,muscles,0.94,santé
pneumologie,poumons,0.93,santé
pathologie,maladie,0.95,santé
chirurgie plastique,réparation,0.92,santé
immunologie,système immunitaire,0.91,santé
virologie,virus,0.94,santé
orthodontie,dents,0.93,santé
parasitologie,parasites,0.95,santé
hématologie,sang,0.92,santé
médecine interne,diagnostic,0.91,santé
hygiène,santé,0.94,santé
cardiologue,consultation,0.93,santé
médecine d'urgence,ambulance,0.95,santé
santé publique,prévention,0.92,santé
psychiatrie,dépression,0.91,santé
ergothérapie,mobilité,0.94,santé
pédicure,pieds,0.93,santé
nutritionniste,régime,0.95,santé
médecine tropicale,climat,0.92,santé
prothèse,membre,0.91,santé
clinique,soins,0.94,santé
diabète,insuline,0.93,santé
obstétrique,accouchement,0.95,santé
gynécologie,cycle,0.92,santé
santé environnementale,pollution,0.91,santé
infectiologie,infection,0.94,santé
médecine sportive,performance,0.93,santé
anatomie,corps humain,0.95,santé
médecine vétérinaire,animaux,0.92,santé
soins palliatifs,fin de vie,0.91,santé
maternité,nouveau-né,0.94,santé
psychosomatique,stress,0.93,santé
analyse médicale,laboratoire,0.95,santé
vaccinologie,immunité,0.92,santé
médecine alternative,plantes,0.91,santé
antibiotiques,bactéries,0.94,santé
hospitalisation,soins,0.93,santé
chirurgien,blessure,0.95,santé
épilepsie,neurotransmetteurs,0.92,santé
téléconsultation,vidéo,0.91,santé
urgences médicales,priorité,0.94,santé
immunité adaptative,lymphocytes,0.93,santé
acupuncture,points,0.95,santé
phytothérapie,remèdes naturels,0.92,santé
naturopathie,santé holistique,0.91,santé
médecine nucléaire,scintigraphie,0.94,santé
radiothérapie,tumeurs,0.93,santé
santé communautaire,initiatives,0.95,santé
médecine esthétique,bien-être,0.92,santé
hygiène de vie,prévention,0.91,santé
alimentation saine,équilibre,0.94,santé
microbiologie,bactéries,0.93,santé
pandémie,contagion,0.95,santé
médicaments,génériques,0.92,santé
vaccination de masse,couverture,0.91,santé
anesthésiste,bloc opératoire,0.94,santé
médecine régénérative,cellules souches,0.93,santé
médecine,fiction audio,0.22,santé
infirmière,illustration scientifique,0.21,santé
chirurgie,danse contemporaine,0.20,santé
hôpital,graphisme contemporain,0.19,santé
pharmacie,installation artistique,0.24,santé
diagnostic,poésie symboliste,0.23,santé
médecin,ressources numériques,0.22,santé
vaccin,livre audio,0.21,santé
épidémie,projection numérique,0.20,santé
maladie,tableau noir,0.19,santé
soins intensifs,concepts graphiques,0.24,santé
santé mentale,fiction numérique,0.23,santé
physiothérapie,sculpture contemporaine,0.22,santé
cardiologie,médaille,0.21,santé
oncologie,culture digitale,0.20,santé
dentiste,arts visuels,0.19,santé
ophtalmologie,croquis,0.24,santé
nutrition,supports visuels,0.23,santé
pédiatrie,graphisme,0.22,santé
gériatrie,poésie contemporaine,0.21,santé
anesthésie,événements culturels,0.20,santé
radiologie,fiction historique,0.19,santé
biologie,concepts abstraits,0.24,santé
épidémiologie,atelier technique,0.23,santé
dermatologie,danse folklorique,0.22,santé
orthopédie,modélisation 3D,0.21,santé
psychothérapie,illustration artistique,0.20,santé
allergie,histoire orale,0.19,santé
vaccination,paysages numériques,0.24,santé
réanimation,évolutions technologiques,0.23,santé
neurochirurgie,photographie artistique,0.22,santé
psychologie,galerie d’art,0.21,santé
toxicologie,logistique moderne,0.20,santé
endocrinologie,musique contemporaine,0.19,santé
médecine générale,conservatoire,0.24,santé
kinésithérapie,biologie marine,0.23,santé
pneumologie,concepts graphiques,0.22,santé
pathologie,danse classique,0.21,santé
chirurgie plastique,supports numériques,0.20,santé
immunologie,installation artistique,0.19,santé
virologie,culture musicale,0.24,santé
orthodontie,écriture contemporaine,0.23,santé
parasitologie,fiction littéraire,0.22,santé
hématologie,atelier d’art,0.21,santé
médecine interne,symboles culturels,0.20,santé
hygiène,logistique historique,0.19,santé
nutritionniste,projets éducatifs,0.24,santé
christianisme,bible,0.95,religion
islam,coran,0.94,religion
judaïsme,torah,0.93,religion
hindouisme,vedas,0.92,religion
bouddhisme,sutras,0.91,religion
prières,rituels,0.94,religion
temple,sanctuaire,0.93,religion
mosquée,minaret,0.95,religion
synagogue,menorah,0.92,religion
église,cathédrale,0.91,religion
karma,réincarnation,0.94,religion
nirvana,illumination,0.93,religion
pape,vatican,0.95,religion
prophète,révélation,0.92,religion
sainteté,sacralité,0.91,religion
sacrifice,offrande,0.94,religion
croyance,foi,0.93,religion
spiritualité,méditation,0.95,religion
culte,adoration,0.92,religion
zen,paix intérieure,0.91,religion
shinto,kami,0.94,religion
rituel,cérémonie,0.93,religion
mythologie,légende,0.95,religion
divinité,culte,0.92,religion
sagesse,enseignement,0.91,religion
jeûne,purification,0.94,religion
pèlerinage,lieu saint,0.93,religion
commandements,morale,0.95,religion
prédication,sermon,0.92,religion
âme,salut,0.91,religion
ascèse,discipline,0.94,religion
rites,traditions,0.93,religion
soufisme,mysticisme,0.95,religion
yoga,équilibre,0.92,religion
chant spirituel,mantra,0.91,religion
cosmologie,création,0.94,religion
prophétie,avenir,0.93,religion
félicité,sérénité,0.95,religion
prêtres,liturgie,0.92,religion
âme,croyance,0.91,religion
rites funéraires,au-delà,0.94,religion
saint,canonisation,0.93,religion
dharma,devoir,0.95,religion
mantra,répétition,0.92,religion
pardon,rédemption,0.91,religion
initiation,éveil,0.94,religion
charité,générosité,0.93,religion
paradis,enfer,0.95,religion
cosmos,inconnu,0.92,religion
absolution,repentir,0.91,religion
oracle,prédiction,0.94,religion
totem,symbolisme,0.93,religion
déité,divin,0.95,religion
altruisme,compassion,0.92,religion
rites de passage,étapes,0.91,religion
éthique,religion,0.94,religion
mystère,sacré,0.93,religion
ascension,élévation,0.95,religion
panthéon,dieux,0.92,religion
extase,transcendance,0.91,religion
enseignement spirituel,sagesse,0.94,religion
féminin sacré,maternité,0.93,religion
méditation,mindfulness,0.95,religion
liturgie,psaumes,0.92,religion
oracle,divination,0.91,religion
shamanisme,nature,0.94,religion
aumône,partage,0.93,religion
élévation,méditation,0.95,religion
transcendance,conscience,0.92,religion
aum,son sacré,0.91,religion
prières collectives,communion,0.94,religion
temple grec,architecture,0.93,religion
icône,vénération,0.95,religion
dogme,principes,0.92,religion
martyr,sacrifice,0.91,religion
clairvoyance,intuition,0.94,religion
illumination,clarté,0.93,religion
universalisme,harmonie,0.95,religion
textes sacrés,enseignement,0.92,religion
royaume des cieux,prophéties,0.91,religion
vœux,retrait,0.94,religion
pentecôte,esprit saint,0.93,religion
orthodoxie,tradition,0.95,religion
polythéisme,croyances,0.92,religion
prosélytisme,conviction,0.91,religion
incarnation,présence,0.94,religion
vision cosmique,univers,0.93,religion
christianisme,danse contemporaine,0.22,religion
islam,graphisme numérique,0.21,religion
judaïsme,installation artistique,0.20,religion
hindouisme,poésie contemporaine,0.19,religion
bouddhisme,tableau noir,0.24,religion
prières,fiction audio,0.23,religion
temple,ressources numériques,0.22,religion
mosquée,illustration scientifique,0.21,religion
synagogue,concepts graphiques,0.20,religion
église,modélisation 3D,0.19,religion
karma,fiction littéraire,0.24,religion
nirvana,culture digitale,0.23,religion
pape,atelier technique,0.22,religion
prophète,écritures modernes,0.21,religion
sainteté,paysages numériques,0.20,religion
sacrifice,événements artistiques,0.19,religion
croyance,supports visuels,0.24,religion
spiritualité,biologie marine,0.23,religion
culte,danse folklorique,0.22,religion
zen,arts visuels,0.21,religion
shinto,illustration artistique,0.20,religion
rituel,musique contemporaine,0.19,religion
mythologie,sculpture contemporaine,0.24,religion
divinité,logistique moderne,0.23,religion
sagesse,histoire orale,0.22,religion
jeûne,graphisme contemporain,0.21,religion
pèlerinage,projection numérique,0.20,religion
commandements,croquis,0.19,religion
prédication,concepts abstraits,0.24,religion
âme,fiction numérique,0.23,religion
ascèse,supports numériques,0.22,religion
rites,littérature moderne,0.21,religion
soufisme,tableaux interactifs,0.20,religion
yoga,danse classique,0.19,religion
chant spirituel,projets éducatifs,0.24,religion
cosmologie,galerie d’art,0.23,religion
prophétie,logistique,0.22,religion
félicité,culture musicale,0.21,religion
prêtres,illustration moderne,0.20,religion
rites funéraires,concepts technologiques,0.19,religion
saint,fiction historique,0.24,religion
dharma,évolutions culturelles,0.23,religion
mantra,arts graphiques,0.22,religion
pardon,conservatoire,0.21,religion
initiation,chorégraphie,0.20,religion
charité,écriture numérique,0.19,religion
paradis,installation artistique,0.24,religion
cosmos,fiction scientifique,0.23,religion
armée,soldat,0.95,militaire
bataille,conflit,0.94,militaire
guerre,front,0.93,militaire
stratégie,tactique,0.92,militaire
général,commandement,0.91,militaire
armement,munitions,0.95,militaire
caserne,entraînement,0.94,militaire
marine,navire,0.93,militaire
aviation,avion,0.92,militaire
infanterie,terrain,0.91,militaire
char,blindé,0.94,militaire
artillerie,canons,0.93,militaire
officier,commandant,0.95,militaire
mission,objectif,0.92,militaire
base militaire,logistique,0.91,militaire
soldat,discipline,0.94,militaire
drone,surveillance,0.93,militaire
missile,défense,0.95,militaire
opérations spéciales,élite,0.92,militaire
hélicoptère,transport,0.91,militaire
patrouille,zone,0.94,militaire
quartier général,coordination,0.93,militaire
vétéran,expérience,0.95,militaire
armée de l'air,escadrille,0.92,militaire
marine nationale,flotte,0.91,militaire
conflit armé,alliances,0.94,militaire
blocus,encerclement,0.93,militaire
armes chimiques,interdiction,0.95,militaire
traité de paix,négociation,0.92,militaire
camp militaire,abri,0.91,militaire
uniforme,médaille,0.94,militaire
guérilla,terrain,0.93,militaire
exercice militaire,simulation,0.95,militaire
flotte navale,stratégie,0.92,militaire
armée terrestre,défense,0.91,militaire
porte-avions,escorte,0.94,militaire
radar,détection,0.93,militaire
recrutement,service,0.95,militaire
force spéciale,intervention,0.92,militaire
armistice,cessez-le-feu,0.91,militaire
fortification,protection,0.94,militaire
munitions,arsenal,0.93,militaire
missiles balistiques,portée,0.95,militaire
bases navales,sécurité,0.92,militaire
fusil,armes,0.91,militaire
tactique militaire,déploiement,0.94,militaire
espionnage,infiltration,0.93,militaire
alliés,coopération,0.95,militaire
cavalerie,cheval,0.92,militaire
force aérienne,assaut,0.91,militaire
tensions militaires,escalade,0.94,militaire
zones de conflit,régions,0.93,militaire
dissuasion nucléaire,arsenal,0.95,militaire
attaque,position,0.92,militaire
parachutiste,aéroport,0.91,militaire
garde nationale,sécurité,0.94,militaire
mines terrestres,risques,0.93,militaire
brigade,division,0.95,militaire
opérations de maintien de la paix,ONU,0.92,militaire
soldat d'élite,formation,0.91,militaire
forces armées,équipement,0.94,militaire
guerre froide,tensions,0.93,militaire
siège,blocus,0.95,militaire
campagne militaire,victoire,0.92,militaire
missile intercontinental,puissance,0.91,militaire
conflit mondial,diplomatie,0.94,militaire
arsenal militaire,inventaire,0.93,militaire
drones de combat,attaque,0.95,militaire
stratégie navale,océan,0.92,militaire
fusée,système,0.91,militaire
bases aériennes,opérations,0.94,militaire
commandement militaire,décision,0.93,militaire
forces terrestres,mobilisation,0.95,militaire
armes biologiques,dangers,0.92,militaire
hélicoptère de combat,intervention,0.91,militaire
brigade blindée,chars,0.94,militaire
sous-marin,dissuasion,0.93,militaire
munitions de précision,cibles,0.95,militaire
guerre cybernétique,réseaux,0.92,militaire
espion,opérations,0.91,militaire
forces de défense,préparation,0.94,militaire
zones démilitarisées,frontière,0.93,militaire
chars d'assaut,blindage,0.95,militaire
missiles guidés,cibles,0.92,militaire
défense anti-aérienne,menace,0.91,militaire
armée,graphisme contemporain,0.22,militaire
soldat,illustration scientifique,0.21,militaire
guerre,danse contemporaine,0.20,militaire
bataille,poésie symboliste,0.19,militaire
général,tableau noir,0.24,militaire
stratégie,fiction audio,0.23,militaire
marine militaire,ressources numériques,0.22,militaire
aviation,concepts graphiques,0.21,militaire
blindé,modélisation 3D,0.20,militaire
artillerie,fiction littéraire,0.19,militaire
infanterie,culture digitale,0.24,militaire
hélicoptère de combat,atelier technique,0.23,militaire
chars,illustration artistique,0.22,militaire
missile,évolutions technologiques,0.21,militaire
uniforme,paysages numériques,0.20,militaire
camp militaire,événements artistiques,0.19,militaire
officier,sculpture contemporaine,0.24,militaire
espionnage,histoire orale,0.23,militaire
base militaire,graphisme contemporain,0.22,militaire
missile balistique,arts visuels,0.21,militaire
défense nationale,illustration scientifique,0.20,militaire
patrouille,danse classique,0.19,militaire
armée de terre,installation artistique,0.24,militaire
marine,fiction historique,0.23,militaire
aéronavale,projets éducatifs,0.22,militaire
forces spéciales,croquis,0.21,militaire
tactique militaire,concepts abstraits,0.20,militaire
guerre froide,danse folklorique,0.19,militaire
opérations stratégiques,projection numérique,0.24,militaire
campagne militaire,arts graphiques,0.23,militaire
fortification,conservatoire,0.22,militaire
armement,chorégraphie,0.21,militaire
brigade,écriture numérique,0.20,militaire
combats,installation artistique,0.19,militaire
hélicoptère,fiction scientifique,0.24,militaire
camp d’entraînement,fiction numérique,0.23,militaire
munitions,concepts graphiques,0.22,militaire
logistique militaire,logistique générale,0.21,militaire
convoi,poésie contemporaine,0.20,militaire
alliances stratégiques,arts graphiques,0.19,militaire
recrutement,musique contemporaine,0.24,militaire
formation,illustration moderne,0.23,militaire
marine nationale,histoire visuelle,0.22,militaire
platoon,fiction militaire,0.21,militaire
réserviste,projets numériques,0.20,militaire
opérations de guerre,tableaux interactifs,0.19,militaire
armurerie,biologie marine,0.24,militaire
escadron,aérospatial,0.23,militaire
sous-marin,symbole numérique,0.22,militaire
biodiversité,écosystème,0.95,écologie
recyclage,déchets,0.94,écologie
énergies renouvelables,éolienne,0.93,écologie
pollution,contamination,0.92,écologie
forêt tropicale,arbres,0.91,écologie
effet de serre,réchauffement climatique,0.94,écologie
agriculture biologique,sols,0.93,écologie
déforestation,perte d’habitats,0.95,écologie
océan,acidification,0.92,écologie
faune,protection,0.91,écologie
énergie solaire,panneaux photovoltaïques,0.94,écologie
économie circulaire,durabilité,0.93,écologie
empreinte carbone,réduction,0.95,écologie
changement climatique,températures,0.92,écologie
zéro déchet,compostage,0.91,écologie
développement durable,ressources,0.94,écologie
réduction des émissions,transport public,0.93,écologie
énergie éolienne,turbines,0.95,écologie
écosystème marin,corail,0.92,écologie
perte de biodiversité,extinction,0.91,écologie
réduction des plastiques,bioplastique,0.94,écologie
conservation,réserves naturelles,0.93,écologie
énergie hydraulique,barrages,0.95,écologie
pesticides,pollution des sols,0.92,écologie
réhabilitation environnementale,restauration,0.91,écologie
changement d’habitat,migration animale,0.94,écologie
énergie géothermique,chaleur,0.93,écologie
gestion de l’eau,irrigation,0.95,écologie
protection des espèces,écorégions,0.92,écologie
effet de serre,gaz à effet de serre,0.91,écologie
pollution sonore,transport urbain,0.94,écologie
agriculture durable,rotation des cultures,0.93,écologie
eau potable,traitement,0.95,écologie
bilan carbone,neutralité carbone,0.92,écologie
environnement,écosystèmes,0.91,écologie
réduction des déchets,méthanisation,0.94,écologie
panneaux solaires,efficacité énergétique,0.93,écologie
tourbières,stockage de carbone,0.95,écologie
reforestation,plantation d’arbres,0.92,écologie
santé environnementale,qualité de l’air,0.91,écologie
traitement des eaux usées,stations d’épuration,0.94,écologie
zones humides,filtration naturelle,0.93,écologie
préservation,parcs nationaux,0.95,écologie
écotourisme,développement durable,0.92,écologie
gestion des déchets,collecte sélective,0.91,écologie
impact environnemental,analyse,0.94,écologie
éducation environnementale,sensibilisation,0.93,écologie
gestion forestière,équilibre,0.95,écologie
érosion des sols,réhabilitation,0.92,écologie
changement climatique,fonte des glaces,0.91,écologie
énergie verte,alternatives,0.94,écologie
pollution atmosphérique,particules fines,0.93,écologie
systèmes agroforestiers,permaculture,0.95,écologie
biodiversité marine,protection,0.92,écologie
ressources naturelles,gestion durable,0.91,écologie
réduction de l’empreinte,transports écologiques,0.94,écologie
environnementalisme,engagement,0.93,écologie
océanographie,changements climatiques,0.95,écologie
sols,compost organique,0.92,écologie
élevage durable,pratiques respectueuses,0.91,écologie
habitats naturels,protection,0.94,écologie
gestion des ressources,partage,0.93,écologie
zones protégées,écorégions,0.95,écologie
eau douce,rivières,0.92,écologie
qualité de l’air,polluants,0.91,écologie
barrages hydroélectriques,énergie propre,0.94,écologie
biodégradation,processus naturels,0.93,écologie
écoconstruction,matériaux durables,0.95,écologie
agriculture urbaine,toits verts,0.92,écologie
écosystèmes tropicaux,diversité,0.91,écologie
alternatives écologiques,solutions,0.94,écologie
gestion climatique,régulation,0.93,écologie
recyclage avancé,innovations,0.95,écologie
habitat écologique,construction,0.92,écologie
écobilan,développement durable,0.91,écologie
climat,adaptation,0.94,écologie
forêts primaires,biodiversité,0.93,écologie
coraux,réserves marines,0.95,écologie
plantes médicinales,écosystèmes,0.92,écologie
engrais naturels,agriculture,0.91,écologie
infrastructures vertes,urbanisme,0.94,écologie
érosion côtière,solutions naturelles,0.93,écologie
agroécologie,systèmes alimentaires,0.95,écologie
zones arides,réhabilitation,0.92,écologie
empreinte hydrique,consommation,0.91,écologie
biodiversité,danse contemporaine,0.22,écologie
recyclage,graphisme numérique,0.21,écologie
énergies renouvelables,installation artistique,0.20,écologie
pollution,poésie symboliste,0.19,écologie
forêt tropicale,fiction audio,0.24,écologie
effet de serre,tableau noir,0.23,écologie
agriculture biologique,illustration scientifique,0.22,écologie
déforestation,concepts graphiques,0.21,écologie
océan,modélisation 3D,0.20,écologie
faune,fiction littéraire,0.19,écologie
énergie solaire,culture digitale,0.24,écologie
économie circulaire,atelier technique,0.23,écologie
empreinte carbone,évolutions technologiques,0.22,écologie
changement climatique,paysages numériques,0.21,écologie
zéro déchet,arts visuels,0.20,écologie
développement durable,histoire orale,0.19,écologie
réduction des émissions,graphisme contemporain,0.24,écologie
énergie éolienne,fiction historique,0.23,écologie
écosystème marin,croquis,0.22,écologie
perte de biodiversité,concepts abstraits,0.21,écologie
réduction des plastiques,danse folklorique,0.20,écologie
conservation,projection numérique,0.19,écologie
énergie hydraulique,arts graphiques,0.24,écologie
pesticides,conservatoire,0.23,écologie
